,count,unique,top,freq,mean,min,25%,50%,75%,max,std
uranus_ecliptic_lat_deg,47533.0,,,,-0.42340325714604987,-0.6373327074485411,-0.5283907196823763,-0.4312250219946022,-0.3188048424494476,-0.19077045418861677,0.12139858401110742
uranus_altitude_deg,47533.0,,,,3.7972299036835206,-89.27618770638111,-34.54236406139025,2.648693917515882,42.202472268569615,89.95278946542439,44.38598457975594
uranus_azimuth_deg,47533.0,,,,180.13263408501925,0.030662416706959073,74.48553310579996,183.13158424169706,285.4976531820295,359.9795574549317,112.89292906977204
uranus_sin_alt,47533.0,,,,0.046797731087240516,-0.9999202058828532,-0.5670154346459364,0.046211965950049616,0.671752553842999,0.9999996605291005,0.6405960888819221
uranus_cos_alt,47533.0,,,,0.7254102842472558,0.0008239791767319736,0.5703812550951031,0.7866125060983971,0.9413533816663829,0.9999999989726456,0.24746002567457645
uranus_sin_az,47533.0,,,,-0.002184777293660868,-0.999999999984453,-0.9408453715961081,-0.010175152850513985,0.9397437509713271,0.9999999999985637,0.8560843983387053
uranus_cos_az,47533.0,,,,0.27870096776778236,-0.9999994359516474,0.06446038151937988,0.2673766608673932,0.5747989134340521,0.999999936350549,0.4352699213664764
neptune_ra_hours,47533.0,,,,21.788064265882436,2.762481700096673e-05,23.057340170726615,23.3258294867017,23.666982763822965,23.99995586379408,5.928126166162848
neptune_dec_deg,47533.0,,,,-4.759644249202726,-8.99599850208858,-6.594796123967045,-4.89048812529279,-2.8730816096579845,-0.49330760467553664,2.205553259200871
neptune_ecliptic_lon_deg,47533.0,,,,330.23164943009317,0.0007351030569314649,344.76439960360585,349.1788542105663,354.7433182696467,359.99999037157295,81.21626908370018
neptune_ecliptic_lat_deg,47533.0,,,,-1.116477758466299,-1.374494546750566,-1.228804988355966,-1.1145126116674526,-0.9953085989772747,-0.8480577013102849,0.14363034251009968
neptune_altitude_deg,47533.0,,,,-1.157634942297299,-89.50149133624346,-41.56227140893059,-0.8190898706976679,39.15176554809779,88.82549959066763,45.080004733622154
neptune_azimuth_deg,47533.0,,,,180.42650349998047,0.018480799886015645,94.61949359565075,180.91966396857532,265.55672315677054,359.9621057550659,91.55917633061658
neptune_sin_alt,47533.0,,,,-0.014069007674927676,-0.9999621498660531,-0.6634336525754894,-0.014295328178309898,0.6313766917620092,0.9997899049226814,0.6552036780018635
neptune_cos_alt,47533.0,,,,0.7172957347442888,0.008700507758812197,0.5343665724290503,0.7621676300886501,0.9379120805908046,0.9999999997544328,0.2366584923547892
neptune_sin_az,47533.0,,,,-0.0019581856009832387,-0.9999999992465686,-0.9530206409531461,-0.008428569524125277,0.9518783978239458,0.9999999999998818,0.865929316991649
neptune_cos_az,47533.0,,,,-0.07951536906080112,-0.999999901515477,-0.39259512319254997,-0.07894459963875228,0.1992504724838013,0.9999999479804891,0.4938226350872858
lunar_node_ascending_utc,47533,114,2018-09-06T22:42:10Z,1185,,,,,,,
lunar_node_descending_utc,47533,114,2018-09-20T09:31:10Z,1185,,,,,,,
date_local,47533,2831,01/09/2023,86,,,,,,,
time_local,47533,113,13:00:00,2759,,,,,,,
sunrise,47533,211,nan,1980,,,,,,,
sunset,47533,281,nan,1980,,,,,,,
moonrise,47533,2671,nan,1980,,,,,,,
moonset,47533,2534,nan,1980,,,,,,,
tithi,47533,4965,nan,1980,,,,,,,
nakshatra,47533,5132,nan,1980,,,,,,,
yoga,47533,5235,nan,1980,,,,,,,
karana,47533,3778,nan,1980,,,,,,,
weekday,47533,8,Cani,6585,,,,,,,
paksha,47533,3,Shukla Paksha,22848,,,,,,,
moonsign,47533,2330,Tula,2250,,,,,,,
sunsign,47533,199,Simha,7146,,,,,,,
drik_ritu,47533,7,Sharad (Autumn),15723,,,,,,,
vedic_ritu,47533,7,Varsha (Monsoon),17346,,,,,,,
drik_ayana,47533,3,Dakshinayana,30791,,,,,,,
vedic_ayana,47533,3,Dakshinayana,30777,,,,,,,
dinamana,47533,4796,nan,1980,,,,,,,
ratrimana,47533,4788,nan,1980,,,,,,,
rahu_kalam,47533,3987,nan,1980,,,,,,,
yamaganda,47533,3967,nan,1980,,,,,,,
gulikai_kalam,47533,3916,nan,1980,,,,,,,
anandadi_yoga,47533,5114,nan,1980,,,,,,,
tamil_yoga,47533,3540,nan,1980,,,,,,,
disha_shool,47533,5,East,13104,,,,,,,
agnivasa,45553,3142,Prithvi (Earth),11175,,,,,,,
lahiri_ayanamsha,45553.0,,,,24.162897685706763,24.094804,24.128495,24.163034,24.194193,24.227909,0.03644078704522684
vedic_lagna_full_degree,45290.0,,,,175.77421086332524,0.02,91.2525,175.02,257.1975,359.98,99.33956844727763
vedic_lagna_padam,45290.0,,,,2.5062927798631045,1.0,2.0,3.0,4.0,4.0,1.1146463555746997
vedic_lagna_speed_deg_per_day,45290.0,,,,360.8489620225215,243.09,325.32,340.85,386.7275,984.77,60.32716982564763
vedic_lagna_right_ascension,45290.0,,,,180.26379885184366,0.01,98.11,180.2,261.5475,359.99,99.47598919867698
vedic_lagna_declination,45290.0,,,,-0.031809229410465885,-23.44,-17.05,-0.06,16.99,23.43,16.795574118052482
vedic_lagna_nakshatra,47533,28,nan,2243,,,,,,,
vedic_surya_full_degree,45290.0,,,,177.55314285714286,0.08,118.31,161.64,238.52,359.98,84.85455732803271
vedic_surya_padam,45290.0,,,,2.505762861558843,1.0,1.0,3.0,4.0,4.0,1.1304051107815594
vedic_surya_speed_deg_per_day,45290.0,,,,0.9785992492824022,0.95,0.96,0.98,1.0,2.45,0.023719444202249137
vedic_surya_right_ascension,45290.0,,,,187.08034179730623,0.06,136.8125,180.085,239.165,359.99,85.50836558936764
vedic_surya_declination,45290.0,,,,-0.040177743431221054,-23.44,-13.45,-0.03,13.2,23.43,14.800694908762516
vedic_surya_nakshatra,47533,28,U Phalguni,3840,,,,,,,
vedic_chandra_full_degree,45290.0,,,,177.9023771251932,0.0,89.35,176.77,265.62,359.98,102.74429191462536
vedic_chandra_padam,45290.0,,,,2.501368955619342,1.0,1.0,3.0,4.0,4.0,1.1187957088418685
